last_updated,topic,story
"March 20, 2020", ,Vinegar is more effective than hand sanitizer
"March 20, 2020", ,Hand sanitizer does not work
"March 20, 2020", ,Shuanghuanglian (Chinese medical herb) can prevent
"March 20, 2020", ,drinking cow urine and applying cow dung on the body can cure coronavirus
"March 20, 2020", ,there is no risk to mass public gatherings as the virus is impossible to contract outdoors
"March 20, 2020", ,Miracle Mineral Supplement cures
"March 20, 2020", ,silver-infused toothpaste will kill the virus
"March 20, 2020", ,Kenneth Copeland can cure the virus directly from his tv studio
"March 20, 2020", ,you have to be with someone for 10 minutes to catch the virus from them
"March 20, 2020", ,taking ibuprofen makes COVID-19 worse
"March 20, 2020", ,reading the Quran will make you immune
"March 20, 2020", ,Coronavirus is just a cold 
"March 20, 2020", ,COVID-19 is a normal flu
"March 20, 2020", ,Children cannot catch coronavirus
"March 20, 2020", ,Sars-cov-2 is mutating faster than normal viruses 
"March 20, 2020", ,Pregnant women who have COVID-19 can pass the virus through the placenta to the unborn child
"March 20, 2020", ,COVID-19 only affects the elderly
"March 20, 2020", ,The SARS-CoV-2 virus can be transmitted through mosquito bite
"March 20, 2020", ,Africans are immune
"March 20, 2020", ,Vegetarians are immune
"March 20, 2020", ,Everyone with COVID-19 dies
"March 20, 2020", ,It was created in a lab
"March 20, 2020", ,It is a US/CIA created bioweapon
"March 20, 2020", ,It is a Chinese bioweapon
"March 20, 2020", ,It is a Russian bioweapon
"March 20, 2020", ,It leaked from a bio-weapons lab in China
"March 20, 2020", ,It leaked from the Wuhan Institute of Virology in China
"March 20, 2020", ,It was caused by an infected rat biting a student in the Wuhan Institute of Virology in China
"March 20, 2020", ,Electromagnetic fields and the introduction of 5G and wireless technologies led to COVID-19 outbreaks
"March 20, 2020", ,Washing hands is propaganda by soap companies
"March 20, 2020", ,This was a plan from Gate Foundation to increase it’s wealth
"March 20, 2020", ,If you can hold your breath for 10 seconds you don’t have COVID-19
"March 18, 2020",False Diagnostic Procedures,"
If you can hold your breath for 10 seconds you don’t have COVID-19
"
"March 18, 2020",Preventions and Cures,gargling with bleach will prevent/cure – also appears as satire
"March 18, 2020",Preventions and Cures,drinking corona beer will prevent/cure – also appears as satire
"March 18, 2020",Preventions and Cures,taking acetic acid will prevent/cure 
"March 18, 2020",Preventions and Cures,taking steroids will prevent/cure 
"March 18, 2020",Preventions and Cures,taking colloidal silver will cure
"March 18, 2020",Preventions and Cures,taking MMS (which contains chlorine dioxide) can cure
"March 18, 2020",Preventions and Cures,using essential oils will prevent 
"March 18, 2020",Preventions and Cures,gargling with salt water will prevent/cure 
"March 18, 2020",Preventions and Cures,gargling with ethanol will prevent/cure 
"March 18, 2020",Preventions and Cures,eating raw garlic will prevent 
"March 18, 2020",Preventions and Cures,garlic will cure
"March 18, 2020",Preventions and Cures,spraying normal drinking alcohol on body will prevent
"March 18, 2020",Preventions and Cures,spraying chlorine on body prevents coronavirus 
"March 18, 2020",Preventions and Cures,drinking or washing in sesame oil prevents coronavirus 
"March 18, 2020",Preventions and Cures,using a hand dryer will kill corona virus
"March 18, 2020",Preventions and Cures,drinking water every 15 minutes will wash virus to the stomach where it will die
"March 18, 2020",Preventions and Cures,drinking hot water will kill the virus
"March 18, 2020",Preventions and Cures,avoiding eating ice cream will prevent
"March 18, 2020",Preventions and Cures,rinsing your nose with saline will prevent
"March 18, 2020",Preventions and Cures,aspirating boiling water vapor for five minutes deactivates the coronavirus
"March 18, 2020",Preventions and Cures,having a pneumonia shot will prevent you from getting the disease
"March 18, 2020",Preventions and Cures,having a flu shot will prevent you from getting the disease
"March 18, 2020",Preventions and Cures,using cocaine prevents/cures
"March 18, 2020",Preventions and Cures,Asians are more likely to get Covid 19
"March 18, 2020",Preventions and Cures,Wearing more than one mask will help prevent the virus
"March 18, 2020",Preventions and Cures,It is dangerous to receive packages from china
"March 18, 2020",Preventions and Cures,It is dangerous to eat in a Chinese restaurant (more so than other restaurants)
"March 18, 2020",Preventions and Cures,Cold weather and snow can kill off the SARS-CoV-2 virus
"March 18, 2020",Preventions and Cures,Warmer weather will kill off the SARS-CoV-2 virus
"March 18, 2020",Preventions and Cures,Taking a hot bath prevents COVID-19
"March 18, 2020",Preventions and Cures,Hand dryers are effective in killing off the SARS-CoV-2 virus
"March 18, 2020",Preventions and Cures,Antibiotics are effective in preventing and treating the SARS-CoV-2 virus
"March 18, 2020",Preventions and Cures,Vinegar is more effective than hand sanitizer
"March 18, 2020",Preventions and Cures,Gargling with Vinegar prevents covid-19
"March 18, 2020",Preventions and Cures,Hand sanitizer does not work
"March 18, 2020",Preventions and Cures,Shuanghuanglian (Chinese medical herb) can prevent
"March 18, 2020",Preventions and Cures,drinking cow urine and applying cow dung on the body can cure coronavirus
"March 18, 2020",Preventions and Cures,there is no risk to mass public gatherings as the virus is impossible to contract outdoors
"March 18, 2020",Preventions and Cures,drinking water every 15 minutes will prevent coronavirus
"March 18, 2020",Preventions and Cures,Miracle Mineral Supplement cures
"March 18, 2020",Preventions and Cures,silver-infused toothpaste will kill the virus
"March 18, 2020",Preventions and Cures,Kenneth Copeland can cure the virus directly from his tv studio
"March 18, 2020",Preventions and Cures,you have to be with someone for 10 minutes to catch the virus from them
"March 18, 2020",Preventions and Cures,"taking ibuprofen makes COVID-19 worse, especially in new patients"
"March 18, 2020",Preventions and Cures,reading the Quran will make you immune
"March 18, 2020",Preventions and Cures,you can kill the virus by holding a blow dryer up to your nose
"March 18, 2020",Preventions and Cures,Sheep head’s soup is a preventative
"March 18, 2020",Preventions and Cures,Lemon and bicarbonate kill the virus
"March 18, 2020",Preventions and Cures,Lemon juice with salt is a cure
"March 18, 2020",Preventions and Cures,Lemon juice with Chinese mesona is a cure
"March 18, 2020",Preventions and Cures,Lemon juice with turmeric prevents
"March 18, 2020",Preventions and Cures,Consuming alcoholic beverages may help reduce the risk of infection by the novel coronavirus
"March 18, 2020",Preventions and Cures,Coronavirus will be cured after 14 hours of curfew
"March 18, 2020",Preventions and Cures,Bitter gourd juice can cure coronavirus in two hours
"March 18, 2020",Preventions and Cures,“Gale of the wind” and neem tree leaves can prevent corona virus
"March 18, 2020",Preventions and Cures,Sitting in the sunlight will cure COVID-19
"March 18, 2020",Preventions and Cures,Coronavirus can be cured by sniffing clove and camphor
"March 18, 2020",Preventions and Cures,Green chiretta can cure
"March 18, 2020",Preventions and Cures,Eating bananas will prevent
"March 18, 2020",Preventions and Cures,15 minutes in Sauna will kill the virus
"March 18, 2020",Preventions and Cures,Morel mushrooms increase risk by 200%
"March 18, 2020",Preventions and Cures,Eating onions with salt will cure
"March 18, 2020",Preventions and Cures,Propolis cures COVID-19
"March 18, 2020",Preventions and Cures,Arsenic album-30 homeopathic medicine can prevent coronavirus
"March 18, 2020",Preventions and Cures,Drinking boiled garlic water cures
"March 18, 2020",Preventions and Cures,A bovine vaccine can be used to inoculate people against coronavirus
"March 18, 2020",Preventions and Cures,Shaving your beard prevents
"March 18, 2020",Preventions and Cures,Turkish raki prevents
"March 18, 2020",Preventions and Cures,Constant sex kills coronavirus
"March 18, 2020",Preventions and Cures,An alkaline diet prevents
"March 18, 2020",Preventions and Cures,Volcanic ash kills coronavirus
"March 18, 2020",Preventions and Cures,Ketamine can cure
"March 18, 2020",Preventions and Cures,Putting an opinion in your room can prevent
"March 18, 2020",Preventions and Cures,Black tea can prevent
"March 18, 2020",Preventions and Cures,Pu’er tea can prevent
"March 18, 2020",Preventions and Cures,Environmental enzymes can prevent
"March 18, 2020",Preventions and Cures,Cocaine kills coronavirus
"March 18, 2020",Nature of Virus or Disease,Corona virus is just a cold 
"March 18, 2020",Nature of Virus or Disease,Covid 19 is a normal flu and is no more dangerous than that
"March 18, 2020",Nature of Virus or Disease,Children cannot catch corona virus
"March 18, 2020",Nature of Virus or Disease,SARS-CoV-2 is mutating faster than normal viruses 
"March 18, 2020",Nature of Virus or Disease,Pregnant women who have Covid 19 can pass the virus through the placenta to the unborn child
"March 18, 2020",Nature of Virus or Disease,Covid 19 only affects the elderly
"March 18, 2020",Nature of Virus or Disease,The SARS-CoV-2 virus can be transmitted through mosquito bite
"March 18, 2020",Nature of Virus or Disease,Africans are immune
"March 18, 2020",Nature of Virus or Disease,Vegetarians are immune
"March 18, 2020",Nature of Virus or Disease,People in India can resist the coronavirus
"March 18, 2020",Nature of Virus or Disease,People with type-A blood are more prone to get coronavirus
"March 18, 2020",Nature of Virus or Disease,Everyone with Covid 19 dies
"March 18, 2020",Nature of Virus or Disease,There is no corona (virus)
"March 18, 2020",Nature of Virus or Disease,This is “fake news” invented by Trump to strengthen the dollar
"March 18, 2020",Nature of Virus or Disease,Chloroquine in any amount can cure Covid 19
"March 18, 2020",Nature of Virus or Disease,The outbreak of covid 19 is not real
"March 18, 2020",Nature of Virus or Disease,COVID-19 breeds rapidly in toilet paper
"March 18, 2020",Nature of Virus or Disease,Turks area immune to covid-19
"March 18, 2020",Nature of Virus or Disease,Coronavirus is caused by snakes
"March 18, 2020",Nature of Virus or Disease,Coronavirus activates all bacterias and viruses in your body
"March 18, 2020",Conspiracy theories including bioweapons,It was created in a lab
"March 18, 2020",Conspiracy theories including bioweapons,It is a US/CIA created bioweapon
"March 18, 2020",Conspiracy theories including bioweapons,It is a Chinese bioweapon
"March 18, 2020",Conspiracy theories including bioweapons,It is a Russian bioweapon
"March 18, 2020",Conspiracy theories including bioweapons,It leaked from a bio-weapons lab in China
"March 18, 2020",Conspiracy theories including bioweapons,It leaked from the Wuhan Institute of Virology in China
"March 18, 2020",Conspiracy theories including bioweapons,It was caused by an infected rat biting a student in the Wuhan Institute of Virology in China
"March 18, 2020",Conspiracy theories including bioweapons,"March 12, Ayatollah Khamenei falsely claimed that there is evidence that COVID-19 might be a “biological attack.”"
"March 18, 2020",Conspiracy theories including bioweapons,Electromagnetic fields and the introduction of 5G wireless technologies led to Covid 19 outbreaks
"March 18, 2020",Conspiracy theories including bioweapons,Washing hands is propaganda by soap companies
"March 18, 2020",Conspiracy theories including bioweapons,This was a plan from Gate Foundation to increase the Gate’s wealth
"March 18, 2020",Conspiracy theories including bioweapons,Qatar knew abut Covid-19 since 2015 and Doha paid billions to China to “grow the virus”
"March 18, 2020",Conspiracy theories including bioweapons,Corona virus is being spread by Coca-Cola
"March 18, 2020",Conspiracy theories including bioweapons,US military brought the virus to Wuhan on October 2019
"March 18, 2020",Conspiracy theories including bioweapons,Bill Gates and Vatican have a plan to depopulate world with coronavirus vaccine
"March 18, 2020",Conspiracy theories including bioweapons,Saddam Hussein in 90s told his cabinet that US threatened to spread coronavirus if he didn’t follow US commands
"March 18, 2020",Conspiracy theories including bioweapons,Cuba gave a vaccine to China
"March 18, 2020",Conspiracy theories including bioweapons,Cuba has a vaccine called Interferon
"March 18, 2020",Conspiracy theories including bioweapons,Israel found the cure
"March 18, 2020",Conspiracy theories including bioweapons,China finds a vaccine 3/17
"March 18, 2020",Conspiracy theories including bioweapons,Institut Pasteur in France invented COVID-19
"March 18, 2020",Conspiracy theories including bioweapons,"COVID-19 is no worse than other outbreaks, it is just being hyped to hurt Trump"
"March 18, 2020",Conspiracy theories including bioweapons,COVID-19 is a scripted narrative to justify closed borders
"March 18, 2020",Conspiracy theories including bioweapons,COVID-19 is a scripted narrative to force people to stay at home
"March 18, 2020",Conspiracy theories including bioweapons,Egypt developed cure (doctor developed a fluid)
"March 18, 2020",Conspiracy theories including bioweapons,Egypt gave China the vaccine
"March 18, 2020",Conspiracy theories including bioweapons,US has 40 thousands troops immune to COVID-19 conducting an invasion of Europe
"March 18, 2020",Conspiracy theories including bioweapons,CDC admits coronavirus originated in the US
"March 18, 2020",Conspiracy theories including bioweapons,Cow urine and feces can cure
"March 18, 2020",Conspiracy theories including bioweapons,COVID-19 was created in 2014 by an English Institute
"March 18, 2020",Conspiracy theories including bioweapons,Ecuadorean doctor develops vaccine 3/3
"March 18, 2020",Conspiracy theories including bioweapons,Filipino student develops vaccine and gets 5million US from Alibaba founder Jack Ma
"March 18, 2020",Conspiracy theories including bioweapons,"Raúl Rodolfo Abhduz Khan, biochemical engineer from Karmalah Laboratories, is the creator of coronavirus."
"March 18, 2020",False Diagnostic Procedures,If you can hold your breath for 10 seconds you don’t have Covid 19
"March 18, 2020",Emergency Measures,NYC is under martial law 3/20
"March 18, 2020",Emergency Measures,Only people who have tested positive need to stay home and isolate themselves
"March 18, 2020",Emergency Measures,Only large gatherings have to be stopped
"March 18, 2020",Emergency Measures,All human interaction needs to be stopped
"March 18, 2020",Emergency Measures,Coronavirus is spread only by coughing and sneezing
"March 18, 2020",Emergency Measures,Social distancing will lead to dramatic immediate results
"March 18, 2020",Emergency Measures,1 month of social distancing will stop the epidemic permanently
"March 18, 2020",Emergency Measures,Friend/relative at Pentagon said the US is going on total lockdown
"March 18, 2020",Emergency Measures,Friend/relative at White House said the US is going on total lockdown
"March 18, 2020",Emergency Measures,Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak
"March 18, 2020",Emergency Measures,In Spain – free internet during 60 days due to quarantine
"March 18, 2020",Emergency Measures,Polish telecommunications company used quarantine as a cover up to put 100 5G antennas in Gdynia
"March 18, 2020",Emergency Measures,Riots in London due to unavailability of food leading to lockdown and martial law 3/22
"March 18, 2020",Emergency Measures,In USA Helicopters are spraying disinfectants to try to eradicate coronavirus
"March 18, 2020",Emergency Measures,Bangalore Municipal body will be spraying medicine in the air to kill coronavirus
"March 18, 2020",Emergency Measures,Homeland Security is mobilizing the national guard to combat coronavirus 3/20
"March 18, 2020",Emergency Measures,Janta curfew in India will break the chain of transmission
"March 18, 2020",Emergency Measures,Elderly people in Brazil who are caught wandering outside with have their pensions cancelled by the government
"March 18, 2020",Emergency Measures,People in Spain are committing suicide due to quarantine 3/20
"March 18, 2020",Emergency Measures,Parks in Adra Spain are being fumigated with poison
"March 18, 2020",Emergency Measures,Spanish helicopters are spreading medicines against coronavirus
"March 18, 2020",Emergency Measures,Oman helicopters are spraying pesticides to eliminate coronavirus
"March 18, 2020",Emergency Measures,Venezuela helicopters are going to spread chemicals against coronavirus
"March 18, 2020",Emergency Measures,Trump will impose a nationwide mandatory quarantine in 38 to 72 hours 3/16
"March 18, 2020",Emergency Measures,Military in Philadelphia are preparing to invoke martial law and bring citizens to FEMA camps
"March 18, 2020",Emergency Measures,Supermarkets are recalling coronavirus-infected toilet paper
"March 18, 2020",Emergency Measures,Pence urges people with coronavirus to go to police 3/2
"March 18, 2020",Emergency Measures,Police in China kill covid-19 patients 3/2
"March 18, 2020",Emergency Measures,Chinese coronavirus patients are being cremated alive 2/25
"March 18, 2020",Good News Stories,Pandemic caused Venice’s water to be clear so the swans returned
"March 18, 2020",Good News Stories,Pandemic caused Venice’s water to be clear so the dolphins returned
"March 18, 2020",Good News Stories,Elephants break into a village due to social distancing and get drunk on corn wine
"March 18, 2020",,gargling with bleach will prevent/cure – also appears as satire
"March 18, 2020",,drinking corona beer will prevent/cure – also appears as satire
"March 18, 2020",,taking acetic acid will prevent/cure 
"March 18, 2020",,taking steroids will prevent/cure 
"March 18, 2020",,taking colloidal silver will cure
"March 18, 2020",,taking MMS (which contains chlorine dioxide) can cure
"March 18, 2020",,using essential oils will prevent 
"March 18, 2020",,gargling with salt water will prevent/cure 
"March 18, 2020",,gargling with ethanol will prevent/cure 
"March 18, 2020",,eating raw garlic will prevent 
"March 18, 2020",,spraying normal drinking alcohol on body will prevent
"March 18, 2020",,spraying chlorine on body prevents coronavirus 
"March 18, 2020",,drinking or washing in sesame oil prevents coronavirus 
"March 18, 2020",,using a hand dryer will kill corona virus
"March 18, 2020",,drinking water every 15 minutes will wash virus to the stomach where it will die
"March 18, 2020",,drinking hot water will kill the virus
"March 18, 2020",,avoiding eating ice cream will prevent
"March 18, 2020",,rinsing your nose with saline will prevent
"March 18, 2020",,having a pneumonia shot will prevent you from getting the disease
"March 18, 2020",,having a flu shot will prevent you from getting the disease
"March 18, 2020",,using cocaine prevents/cures
"March 18, 2020",,Asians are more likely to get COVID-19
"March 18, 2020",,Wearing more than one mask will help prevent the virus
"March 18, 2020",,It is dangerous to receive packages from china
"March 18, 2020",,It is dangerous to eat in a Chinese restaurant (more so than other restaurants)
"March 18, 2020",,Cold weather and snow can kill off the SARS-CoV-2 virus
"March 18, 2020",,Warmer weather will kill off the SARS-CoV-2 virus
"March 18, 2020",,Taking a hot bath prevents COVID-19
"March 18, 2020",,Hand dryers are effective in killing off the SARS-CoV-2 virus
"March 18, 2020",,Antibiotics are effective in preventing and treating the SARS-CoV-2 virus
"March 18, 2020",,Vinegar is more effective than hand sanitizer
"March 18, 2020",,Hand sanitizer does not work
"March 18, 2020",,Shuanghuanglian (Chinese medical herb) can prevent
"March 18, 2020",,drinking cow urine and applying cow dung on the body can cure coronavirus
"March 18, 2020",,there is no risk to mass public gatherings as the virus is impossible to contract outdoors
"March 18, 2020",,Miracle Mineral Supplement cures
"March 18, 2020",,silver-infused toothpaste will kill the virus
"March 18, 2020",,Kenneth Copeland can cure the virus directly from his tv studio
"March 18, 2020",,you have to be with someone for 10 minutes to catch the virus from them
"March 18, 2020",,taking ibuprofen makes COVID-19 worse
"March 18, 2020",,reading the Quran will make you immune
"March 18, 2020",,you can kill the virus by holding a blow dryer up to your nose
"March 18, 2020",,Coronavirus is just a cold 
"March 18, 2020",,COVID-19 is a normal flu
"March 18, 2020",,Children cannot catch corona virus
"March 18, 2020",,Sars-cov-2 is mutating faster than normal viruses 
"March 18, 2020",,Pregnant women who have COVID-19 can pass the virus through the placenta to the unborn child
"March 18, 2020",,COVID-19 only affects the elderly
"March 18, 2020",,The SARS-CoV-2 virus can be transmitted through mosquito bite
"March 18, 2020",,Africans are immune
"March 18, 2020",,Vegetarians are immune
"March 18, 2020",,Everyone with COVID-19 dies
"March 18, 2020",,It was created in a lab
"March 18, 2020",,It is a US/CIA created bioweapon
"March 18, 2020",,It is a Chinese bioweapon
"March 18, 2020",,It is a Russian bioweapon
"March 18, 2020",,It leaked from a bio-weapons lab in China
"March 18, 2020",,It leaked from the Wuhan Institute of Virology in China
"March 18, 2020",,It was caused by an infected rat biting a student in the Wuhan Institute of Virology in China
"March 18, 2020",,Electromagnetic fields and the introduction of 5G and wireless technologies led to COVID-19 outbreaks
"March 18, 2020",,Washing hands is propaganda by soap companies
"March 18, 2020",,This was a plan from Gate Foundation to increase it’s wealth
"March 18, 2020",,If you can hold your breath for 10 seconds you don’t have COVID-19
"March 18, 2020",,NYC is under martial law
"March 18, 2020",,Only people who have tested positive need to stay home and isolate themselves
"March 18, 2020",,Only large gatherings have to be stopped
"March 18, 2020",,All human interaction needs to be stopped
"March 18, 2020",,Coronavirus is spread only by coughing and sneezing
"March 18, 2020",,Social distancing will lead to dramatic immediate results
"March 18, 2020",,1 month of social distancing will stop the epidemic permanently
"March 18, 2020",,Pandemic caused Venice’s water to be clear so the swans returned
"March 18, 2020",,Pandemic caused Venice’s water to be clear so the dolphins returned
"March 18, 2020",,Elephants break into a village due to social distancing and get drunk on corn wine
"March 18, 2020",,Children cannot catch coronavirus
